<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.11.11	0.92219	0.92314	0.91890	0.91943	27635	0	1
2013.11.12	0.91950	0.92261	0.91547	0.91745	37386	0	1
2013.11.13	0.91754	0.92005	0.91239	0.91392	38167	0	1
2013.11.14	0.91393	0.91883	0.91314	0.91652	39526	0	1
2013.11.15	0.91653	0.91912	0.91300	0.91464	33048	0	1
2013.11.18	0.91471	0.91615	0.90953	0.91272	33374	0	1
2013.11.19	0.91271	0.91442	0.91025	0.91102	36815	0	1
2013.11.20	0.91101	0.91907	0.90790	0.91620	41402	0	1
2013.11.21	0.91622	0.91884	0.91252	0.91351	41109	0	1
2013.11.22	0.91351	0.91496	0.90617	0.90653	32692	0	1
2013.11.25	0.90661	0.91313	0.90615	0.91131	30025	0	1
2013.11.26	0.91129	0.91155	0.90590	0.90694	31386	0	1
2013.11.27	0.90694	0.90920	0.90407	0.90754	35643	0	1
2013.11.28	0.90754	0.90862	0.90412	0.90575	27546	0	1
2013.11.29	0.90580	0.90711	0.90281	0.90591	34938	0	1
2013.12.02	0.90608	0.91102	0.90430	0.90894	36007	0	1
2013.12.03	0.90891	0.91005	0.90205	0.90449	37951	0	1
2013.12.04	0.90449	0.90761	0.90130	0.90248	43673	0	1
2013.12.05	0.90248	0.90486	0.89567	0.89637	44396	0	1
2013.12.06	0.89633	0.89841	0.89101	0.89101	38075	0	1
2013.12.09	0.89165	0.89340	0.88954	0.89035	30436	0	1
2013.12.10	0.89034	0.89077	0.88502	0.88751	34614	0	1
2013.12.11	0.88749	0.88862	0.88396	0.88629	34177	0	1
2013.12.12	0.88627	0.89091	0.88479	0.88926	41057	0	1
2013.12.13	0.88919	0.89171	0.88812	0.88857	34520	0	1
2013.12.16	0.88939	0.89024	0.88464	0.88727	33021	0	1
2013.12.17	0.88725	0.88948	0.88321	0.88479	32954	0	1
2013.12.18	0.88479	0.89518	0.88399	0.89514	41617	0	1
2013.12.19	0.89512	0.89864	0.89345	0.89809	39630	0	1
2013.12.20	0.89807	0.90009	0.89318	0.89541	37406	0	1
2013.12.23	0.89586	0.89668	0.89181	0.89356	25711	0	1
2013.12.24	0.89354	0.89719	0.89346	0.89584	18424	0	1
2013.12.26	0.89603	0.89679	0.89493	0.89641	15847	0	1
2013.12.27	0.89639	0.89652	0.87995	0.89099	35376	0	1
2013.12.30	0.89084	0.89315	0.88599	0.88818	30979	0	1
2013.12.31	0.88816	0.89187	0.88660	0.88858	21521	0	1
2014.01.01	0.89155	0.89285	0.89115	0.89194	1490	0	6
2014.01.02	0.89194	0.90285	0.89080	0.89932	58601	0	1
2014.01.03	0.89933	0.90574	0.89887	0.90466	36636	0	1
2014.01.06	0.90481	0.90701	0.90197	0.90365	37547	0	1
2014.01.07	0.90366	0.90988	0.90366	0.90930	37250	0	1
2014.01.08	0.90924	0.91272	0.90764	0.91142	41079	0	1
2014.01.09	0.91132	0.91239	0.90630	0.90722	39618	0	1
2014.01.10	0.90723	0.90899	0.90049	0.90211	37119	0	1
2014.01.13	0.90214	0.90476	0.89863	0.89924	35677	0	1
2014.01.14	0.89924	0.90314	0.89863	0.90280	35830	0	1
2014.01.15	0.90277	0.91077	0.90263	0.90889	35367	0	1
2014.01.16	0.90886	0.91035	0.90318	0.90454	35747	0	1
2014.01.17	0.90455	0.91193	0.90438	0.90967	32260	0	1
2014.01.20	0.91083	0.91322	0.90885	0.91021	25869	0	1
2014.01.21	0.91021	0.91563	0.90845	0.91039	35146	0	1
2014.01.22	0.91029	0.91222	0.90889	0.91159	32345	0	1
2014.01.23	0.91154	0.91336	0.89636	0.89742	43023	0	1
2014.01.24	0.89742	0.89911	0.89029	0.89403	41385	0	1
2014.01.27	0.89423	0.89842	0.89317	0.89621	36978	0	1
2014.01.28	0.89620	0.90098	0.89541	0.90018	33865	0	1
2014.01.29	0.90016	0.90092	0.89349	0.89441	40910	0	1
2014.01.30	0.89438	0.90474	0.89438	0.90252	39188	0	1
2014.01.31	0.90251	0.90795	0.90081	0.90579	38849	0	1
2014.02.03	0.90641	0.90812	0.90036	0.90123	37855	0	1
2014.02.04	0.90123	0.90615	0.90082	0.90383	35357	0	1
2014.02.05	0.90381	0.90566	0.90038	0.90372	44087	0	1
2014.02.06	0.90370	0.90633	0.89678	0.90084	45050	0	1
2014.02.07	0.90083	0.90219	0.89595	0.89817	41934	0	1
2014.02.10	0.89833	0.89934	0.89592	0.89665	27016	0	1
2014.02.11	0.89665	0.89875	0.89395	0.89825	31245	0	1
2014.02.12	0.89824	0.90378	0.89678	0.90042	31086	0	1
2014.02.13	0.90042	0.90095	0.89181	0.89338	33593	0	1
2014.02.14	0.89336	0.89402	0.89029	0.89235	28959	0	1
2014.02.17	0.89185	0.89260	0.89001	0.89128	23215	0	1
2014.02.18	0.89129	0.89284	0.88694	0.88789	33260	0	1
2014.02.19	0.88779	0.88954	0.88560	0.88874	28898	0	1
2014.02.20	0.88874	0.89145	0.88588	0.88948	32232	0	1
2014.02.21	0.88949	0.89108	0.88674	0.88791	26841	0	1
2014.02.24	0.88734	0.89104	0.88532	0.88881	27395	0	1
2014.02.25	0.88880	0.88914	0.88539	0.88688	27600	0	1
2014.02.26	0.88690	0.89299	0.88663	0.89066	30421	0	1
2014.02.27	0.89067	0.89190	0.88712	0.88830	31464	0	1
2014.02.28	0.88830	0.88894	0.87772	0.87983	36097	0	1
2014.03.03	0.87827	0.88357	0.87819	0.88319	34228	0	1
2014.03.04	0.88319	0.88786	0.88243	0.88754	32041	0	1
2014.03.05	0.88752	0.88953	0.88595	0.88707	30452	0	1
2014.03.06	0.88709	0.88910	0.87946	0.87996	34016	0	1
2014.03.07	0.87994	0.88158	0.87561	0.87743	47357	0	1
2014.03.10	0.87795	0.87933	0.87609	0.87769	52115	0	1
2014.03.11	0.87769	0.88048	0.87659	0.87788	55966	0	1
2014.03.12	0.87789	0.87880	0.87342	0.87405	63998	0	1
2014.03.13	0.87405	0.87645	0.86988	0.87468	85992	0	1
2014.03.14	0.87469	0.87616	0.87032	0.87205	69806	0	1
2014.03.17	0.87262	0.87560	0.87136	0.87338	59570	0	1
2014.03.18	0.87339	0.87693	0.87237	0.87319	66358	0	1
2014.03.19	0.87309	0.88292	0.87304	0.88136	72995	0	1
2014.03.20	0.88136	0.88691	0.87998	0.88359	77416	0	1
2014.03.21	0.88359	0.88422	0.88148	0.88282	53689	0	1
2014.03.24	0.88267	0.88659	0.87865	0.88069	64028	0	1
2014.03.25	0.88070	0.88791	0.88008	0.88276	77780	0	1
2014.03.26	0.88279	0.88696	0.88261	0.88508	73339	0	1
