<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.09.25	1531.99	1534.99	1500.35	1503.43	87841	0	26
2019.09.26	1503.98	1512.20	1500.51	1504.38	78024	0	26
2019.09.27	1504.30	1507.25	1486.78	1496.27	88260	0	26
2019.09.30	1496.18	1500.36	1464.40	1472.38	87849	0	26
2019.10.01	1471.51	1487.19	1459.01	1478.94	91510	0	26
2019.10.02	1478.61	1504.98	1474.46	1499.73	92719	0	26
2019.10.03	1499.27	1519.51	1495.74	1504.84	92400	0	26
2019.10.04	1505.38	1515.46	1495.75	1505.55	89207	0	26
2019.10.07	1508.73	1509.15	1487.98	1493.10	90405	0	26
2019.10.08	1492.91	1509.65	1486.72	1505.45	108344	0	26
2019.10.09	1505.15	1512.25	1499.78	1505.50	90424	0	26
2019.10.10	1506.94	1511.16	1490.97	1493.41	83311	0	26
2019.10.11	1493.59	1503.11	1473.91	1485.69	121479	0	26
2019.10.14	1486.52	1497.04	1482.68	1493.00	79119	0	26
2019.10.15	1493.13	1498.40	1477.10	1480.95	88157	0	26
2019.10.16	1480.72	1491.49	1476.95	1489.83	95962	0	26
2019.10.17	1489.56	1497.25	1483.35	1491.63	87003	0	26
2019.10.18	1491.44	1494.01	1484.79	1490.52	76703	0	26
2019.10.21	1491.49	1495.18	1481.38	1484.28	80286	0	26
2019.10.22	1484.06	1488.92	1480.68	1487.43	74430	0	26
2019.10.23	1487.73	1496.22	1487.32	1491.81	73418	0	26
2019.10.24	1491.58	1503.94	1487.92	1503.56	73142	0	26
2019.10.25	1503.29	1517.91	1500.53	1505.48	84441	0	26
2019.10.28	1502.33	1508.15	1489.94	1492.29	84405	0	26
2019.10.29	1491.78	1494.70	1483.42	1487.59	79592	0	26
2019.10.30	1487.89	1496.51	1481.06	1495.51	80345	0	26
2019.10.31	1495.22	1514.16	1493.49	1512.45	77667	0	26
2019.11.01	1512.54	1515.94	1503.18	1514.06	81024	0	26
2019.11.04	1512.75	1514.75	1504.33	1509.35	64729	0	26
2019.11.05	1509.20	1509.49	1479.28	1483.38	91691	0	26
2019.11.06	1482.74	1494.13	1482.05	1490.32	75652	0	26
2019.11.07	1489.84	1492.14	1460.48	1468.36	110227	0	26
2019.11.08	1467.68	1472.88	1456.08	1459.08	88957	0	26
2019.11.11	1460.20	1466.36	1448.12	1455.76	69477	0	26
2019.11.12	1456.08	1460.26	1445.56	1456.09	98109	0	26
2019.11.13	1455.58	1466.94	1455.28	1463.28	93897	0	26
2019.11.14	1463.02	1474.54	1461.04	1471.13	88438	0	26
2019.11.15	1470.76	1471.21	1462.33	1466.55	67617	0	26
2019.11.18	1467.74	1473.86	1456.27	1471.13	69409	0	26
2019.11.19	1470.59	1475.22	1464.71	1472.33	78620	0	26
2019.11.20	1472.02	1478.73	1465.93	1471.41	86066	0	26
2019.11.21	1474.61	1475.58	1462.28	1464.21	89812	0	26
2019.11.22	1463.89	1473.16	1461.24	1462.28	72609	0	26
2019.11.25	1460.38	1462.06	1453.98	1454.98	60981	0	26
2019.11.26	1454.81	1462.86	1449.91	1461.20	57134	0	26
2019.11.27	1460.90	1462.04	1452.40	1454.21	61721	0	26
2019.11.28	1453.99	1458.25	1453.95	1455.73	33307	0	26
2019.11.29	1455.52	1466.50	1452.92	1463.82	52072	0	26
2019.12.02	1462.37	1465.42	1453.92	1462.34	69944	0	18
2019.12.03	1462.03	1481.76	1459.73	1477.19	73375	0	18
2019.12.04	1477.36	1484.01	1471.26	1474.45	83279	0	18
2019.12.05	1474.32	1480.32	1472.86	1475.77	72909	0	18
2019.12.06	1475.57	1479.98	1458.67	1460.53	67189	0	18
2019.12.09	1458.53	1465.34	1458.49	1461.43	51344	0	18
2019.12.10	1461.55	1469.19	1459.89	1464.11	71036	0	18
2019.12.11	1463.51	1478.85	1462.64	1474.60	68530	0	18
2019.12.12	1473.97	1486.72	1463.82	1469.66	82823	0	18
2019.12.13	1469.19	1477.97	1461.79	1475.84	96557	0	18
2019.12.16	1474.90	1479.91	1473.14	1476.02	62000	0	18
2019.12.17	1475.39	1480.51	1474.15	1476.08	58427	0	18
2019.12.18	1475.32	1479.26	1470.40	1475.43	54266	0	18
2019.12.19	1474.33	1481.76	1473.23	1478.79	53373	0	18
2019.12.20	1478.09	1480.94	1475.78	1477.29	47025	0	18
2019.12.23	1478.01	1486.06	1477.50	1485.34	48310	0	18
2019.12.24	1485.06	1500.47	1484.39	1499.60	44487	0	18
2019.12.26	1498.59	1512.61	1497.00	1510.89	57813	0	18
2019.12.27	1510.58	1515.32	1507.36	1510.23	58582	0	18
2019.12.30	1511.10	1516.09	1510.72	1514.93	78351	0	18
2019.12.31	1514.19	1525.29	1514.19	1517.63	77045	0	18
2020.01.02	1516.67	1531.35	1516.44	1528.95	90213	0	18
2020.01.03	1528.47	1553.54	1527.90	1548.32	135926	0	18
2020.01.06	1575.94	1582.21	1560.71	1565.61	173162	0	18
2020.01.07	1564.60	1577.34	1555.29	1573.99	137373	0	18
2020.01.08	1576.72	1611.41	1552.15	1556.26	249856	0	18
2020.01.09	1555.88	1561.31	1540.11	1552.22	123131	0	18
2020.01.10	1551.31	1561.04	1545.71	1560.20	109141	0	18
2020.01.13	1559.80	1560.56	1546.44	1547.78	98326	0	18
2020.01.14	1547.00	1548.82	1535.95	1546.29	119224	0	18
2020.01.15	1545.65	1558.10	1545.65	1556.11	100946	0	18
2020.01.16	1555.43	1558.08	1547.98	1552.38	92345	0	18
2020.01.17	1551.56	1561.22	1549.34	1556.57	86868	0	18
2020.01.20	1558.99	1562.68	1555.83	1560.49	39153	0	18
2020.01.21	1559.83	1568.60	1546.27	1558.00	121106	0	18
2020.01.22	1557.35	1559.21	1550.15	1558.85	93112	0	18
2020.01.23	1558.17	1567.90	1551.87	1562.65	113683	0	18
2020.01.24	1562.10	1575.82	1556.47	1571.53	118651	0	18
2020.01.27	1580.49	1588.31	1575.85	1581.86	154561	0	18
2020.01.28	1581.22	1583.02	1565.47	1567.38	114747	0	18
2020.01.29	1566.59	1577.94	1563.36	1576.84	99498	0	18
2020.01.30	1575.93	1585.99	1572.19	1574.17	137726	0	18
2020.01.31	1573.22	1589.56	1570.89	1586.34	138665	0	18
2020.02.03	1588.62	1592.07	1569.05	1576.62	122939	0	18
2020.02.04	1575.16	1579.57	1548.96	1552.80	106533	0	18
2020.02.05	1552.26	1562.39	1547.44	1556.01	112869	0	18
2020.02.06	1555.35	1568.25	1552.46	1566.53	92154	0	18
2020.02.07	1565.88	1574.06	1560.12	1570.01	142368	0	18
2020.02.10	1569.21	1577.00	1567.96	1572.07	98635	0	18
2020.02.11	1571.40	1574.05	1562.01	1567.67	102451	0	18
2020.02.12	1566.95	1570.42	1561.72	1565.77	84256	0	18
2020.02.13	1566.41	1578.31	1565.51	1576.01	112742	0	18
2020.02.14	1575.19	1584.25	1573.02	1582.36	78850	0	18
2020.02.17	1581.26	1583.76	1578.84	1581.67	37347	0	18
2020.02.18	1580.71	1605.06	1580.31	1601.23	110593	0	18
2020.02.19	1601.18	1612.84	1599.50	1611.47	112613	0	18
2020.02.20	1610.83	1623.70	1603.83	1619.41	151324	0	18
2020.02.21	1618.61	1649.18	1618.61	1643.57	164539	0	18
2020.02.24	1659.48	1689.24	1650.72	1658.59	241764	0	18
2020.02.25	1658.26	1663.68	1624.91	1634.92	282757	0	18
2020.02.26	1634.02	1654.92	1624.82	1640.75	246635	0	18
2020.02.27	1640.17	1660.35	1635.24	1644.48	248461	0	18
2020.02.28	1644.11	1649.41	1562.92	1578.55	287309	0	18
2020.03.02	1581.80	1610.95	1575.32	1589.50	261798	0	18
2020.03.03	1588.51	1649.32	1584.19	1640.77	220552	0	18
2020.03.04	1639.47	1652.63	1631.82	1636.81	174946	0	18
2020.03.05	1636.23	1674.54	1634.97	1672.17	172131	0	18
2020.03.06	1671.42	1691.99	1641.89	1673.47	246111	0	18
2020.03.09	1691.63	1703.45	1657.43	1679.65	213098	0	18
2020.03.10	1678.90	1680.08	1641.22	1649.15	207821	0	18
2020.03.11	1649.28	1671.23	1632.86	1635.12	186493	0	18
2020.03.12	1638.35	1650.22	1560.66	1577.25	224284	0	18
2020.03.13	1578.91	1597.92	1504.59	1528.99	245612	0	18
2020.03.16	1550.96	1574.98	1451.12	1514.09	294145	0	18
2020.03.17	1510.71	1553.99	1465.13	1527.96	288656	0	18
2020.03.18	1527.26	1545.99	1472.62	1485.59	248877	0	18
2020.03.19	1484.92	1500.85	1463.26	1473.65	224073	0	18
2020.03.20	1469.69	1515.94	1454.27	1498.13	201665	0	18
2020.03.23	1503.30	1561.21	1482.17	1552.49	190338	0	18
2020.03.24	1554.33	1631.76	1551.47	1623.24	72905	0	18
2020.03.25	1616.96	1638.80	1591.16	1615.80	103671	0	208
2020.03.26	1605.95	1643.77	1589.87	1628.40	91061	0	208
2020.03.27	1620.47	1629.99	1611.94	1624.52	101647	0	500
2020.03.30	1621.87	1630.18	1606.93	1615.82	101583	0	508
2020.03.31	1619.74	1621.21	1570.59	1570.59	139892	0	300
2020.04.01	1573.68	1599.46	1565.97	1590.00	115930	0	300
2020.04.02	1585.39	1620.01	1581.59	1611.27	126743	0	108
2020.04.03	1611.83	1625.72	1602.53	1621.48	102958	0	108
2020.04.06	1614.61	1668.72	1607.94	1660.36	95356	0	108
2020.04.07	1656.00	1673.08	1642.24	1644.24	110598	0	108
2020.04.08	1638.30	1656.60	1638.30	1643.77	97128	0	108
2020.04.09	1640.46	1689.91	1640.46	1680.78	142823	0	18
2020.04.13	1678.34	1722.38	1672.82	1710.59	115495	0	18
2020.04.14	1710.16	1747.62	1708.60	1726.31	172868	0	18
2020.04.15	1728.22	1730.77	1707.22	1714.09	155164	0	18
2020.04.16	1713.90	1738.78	1707.85	1715.64	199049	0	18
2020.04.17	1718.72	1719.08	1679.15	1683.03	195704	0	18
2020.04.20	1683.06	1702.40	1671.28	1694.92	162559	0	18
2020.04.21	1695.12	1697.74	1660.19	1682.92	185408	0	18
2020.04.22	1684.89	1718.50	1679.88	1713.87	185005	0	18
2020.04.23	1715.81	1738.45	1707.12	1730.41	205008	0	18
2020.04.24	1731.28	1736.29	1710.28	1727.00	174749	0	18
2020.04.27	1721.71	1727.48	1705.94	1713.98	191292	0	18
2020.04.28	1713.78	1716.19	1691.51	1708.51	247672	0	18
2020.04.29	1706.74	1717.63	1697.72	1712.42	218253	0	18
2020.04.30	1711.15	1721.94	1681.26	1686.47	210153	0	18
2020.05.01	1686.32	1705.59	1670.20	1700.14	272025	0	18
2020.05.04	1697.95	1713.03	1691.64	1701.40	132665	0	18
2020.05.05	1703.99	1712.04	1689.40	1705.18	138301	0	18
2020.05.06	1703.14	1708.08	1682.01	1685.56	146263	0	18
2020.05.07	1682.35	1722.05	1681.89	1715.70	142352	0	18
2020.05.08	1718.58	1723.61	1701.65	1706.42	164157	0	18
2020.05.11	1702.28	1711.88	1689.85	1697.32	167919	0	18
2020.05.12	1698.40	1711.01	1693.74	1702.01	149564	0	18
2020.05.13	1700.70	1718.02	1699.07	1716.06	104829	0	17
2020.05.14	1714.74	1736.15	1711.07	1730.09	60286	0	17
2020.05.15	1732.11	1751.34	1728.53	1743.02	64169	0	17
2020.05.18	1747.23	1765.08	1727.50	1732.41	69140	0	17
2020.05.19	1731.70	1747.92	1725.48	1743.99	200929	0	18
2020.05.20	1745.23	1753.91	1742.56	1748.51	175955	0	18
2020.05.21	1749.89	1749.89	1717.15	1727.21	179863	0	18
2020.05.22	1724.43	1740.10	1724.33	1735.18	134010	0	18
2020.05.25	1731.54	1733.28	1721.52	1727.96	68929	0	18
